Democrats,Republicans,Others,Total,ED,RD,year,month,county
733,700,618,2051,05,11,2018,January,Kent
629,736,615,1980,06,11,2018,January,Kent
783,610,538,1931,07,11,2018,January,Kent
331,297,320,948,08,11,2018,January,Kent
261,463,296,1020,09,11,2018,January,Kent
290,387,308,985,10,11,2018,January,Kent
842,415,510,1767,01,28,2018,January,Kent
752,302,358,1412,02,28,2018,January,Kent
754,539,520,1813,03,28,2018,January,Kent
1219,454,603,2276,04,28,2018,January,Kent
561,323,346,1230,05,28,2018,January,Kent
899,220,394,1513,06,28,2018,January,Kent
738,459,400,1597,07,28,2018,January,Kent
195,218,158,571,08,28,2018,January,Kent
680,217,284,1181,09,28,2018,January,Kent
761,196,282,1239,10,28,2018,January,Kent
203,186,129,518,11,28,2018,January,Kent
98,68,73,239,12,28,2018,January,Kent
258,104,93,455,13,28,2018,January,Kent
421,189,179,789,14,28,2018,January,Kent
1699,744,733,3176,01,29,2018,January,Kent
108,110,91,309,02,29,2018,January,Kent
1097,636,575,2308,03,29,2018,January,Kent
653,436,366,1455,04,29,2018,January,Kent
482,320,329,1131,05,29,2018,January,Kent
1280,534,552,2366,06,29,2018,January,Kent
512,356,297,1165,07,29,2018,January,Kent
796,811,646,2253,08,29,2018,January,Kent
565,764,449,1778,09,29,2018,January,Kent
69,150,110,329,10,29,2018,January,Kent
138,167,120,425,11,29,2018,January,Kent
120,53,63,236,12,29,2018,January,Kent
149,154,114,417,13,29,2018,January,Kent
348,442,370,1160,01,30,2018,January,Kent
181,164,149,494,02,30,2018,January,Kent
632,577,529,1738,03,30,2018,January,Kent
715,645,508,1868,04,30,2018,January,Kent
450,721,549,1720,05,30,2018,January,Kent
201,274,194,669,06,30,2018,January,Kent
152,265,169,586,07,30,2018,January,Kent
873,587,602,2062,08,30,2018,January,Kent
651,586,500,1737,09,30,2018,January,Kent
354,352,286,992,10,30,2018,January,Kent
337,472,264,1073,11,30,2018,January,Kent
288,529,336,1153,12,30,2018,January,Kent
321,101,143,565,01,31,2018,January,Kent
671,545,447,1663,02,31,2018,January,Kent
1000,356,351,1707,03,31,2018,January,Kent
758,363,403,1524,04,31,2018,January,Kent
914,460,440,1814,05,31,2018,January,Kent
1319,300,494,2113,06,31,2018,January,Kent
1008,291,376,1675,07,31,2018,January,Kent
602,166,276,1044,08,31,2018,January,Kent
451,290,279,1020,09,31,2018,January,Kent
452,205,255,912,10,31,2018,January,Kent
485,314,253,1052,11,31,2018,January,Kent
23,11,12,46,16,31,2018,January,Kent
985,310,454,1749,01,32,2018,January,Kent
629,252,290,1171,02,32,2018,January,Kent
764,372,357,1493,03,32,2018,January,Kent
32,15,13,60,04,32,2018,January,Kent
798,455,479,1732,05,32,2018,January,Kent
136,129,104,369,06,32,2018,January,Kent
1174,441,546,2161,07,32,2018,January,Kent
320,52,124,496,08,32,2018,January,Kent
567,338,429,1334,09,32,2018,January,Kent
391,146,191,728,10,32,2018,January,Kent
675,349,400,1424,11,32,2018,January,Kent
486,424,339,1249,12,32,2018,January,Kent
262,202,149,613,01,33,2018,January,Kent
564,509,441,1514,02,33,2018,January,Kent
766,790,603,2159,03,33,2018,January,Kent
640,867,636,2143,04,33,2018,January,Kent
766,612,605,1983,05,33,2018,January,Kent
92,108,80,280,06,33,2018,January,Kent
395,545,369,1309,07,33,2018,January,Kent
769,850,603,2222,08,33,2018,January,Kent
1174,739,641,2554,09,33,2018,January,Kent
497,615,412,1524,10,33,2018,January,Kent
814,585,595,1994,01,34,2018,January,Kent
373,347,301,1021,02,34,2018,January,Kent
1101,671,632,2404,03,34,2018,January,Kent
273,280,262,815,04,34,2018,January,Kent
896,803,638,2337,05,34,2018,January,Kent
368,282,239,889,06,34,2018,January,Kent
