OBJECTID,DISTRICT,POPULATION,WHITE,BLACK,ASIAN,HISPANIC_O,F18_POP,F18_WHT,F18_BLK,H18_POP,DEMOCRATIC,REPUBLICAN,OTHER_PART,TOTAL__VOT,IDEAL_VALU,DEVIATION,F_DEVIATIO,F_WHITE,F_BLACK,F_ASIAN,F_HISPANIC,F_18_POP,F_18_WHT,F_18_BLK,F_H18_POP,F_DEMOCRAT,F_REPUBLIC,F_OTHER_PA,F_TOTAL__V,SHAPE_AREA_1,SHAPE_LEN_1,OBJECTID_1,NAME,PARTY,DISTRICT_1,LEGSESSION,URL
1,9,21263,16428,3977,322,514,16049,12308,3244,302,5841,4637,3324,13802,21901,-638,-0.0291,0.7726,0.187,0.0151,0.0242,0.7548,0.7669,0.2021,0.0188,0.4232,0.336,0.2408,0.6491,,,,Kevin S. Hensley,R,9,150,http://legis.delaware.gov/legislature.nsf/ByDistrict/Representative9
2,11,20915,18008,2009,175,711,15441,13482,1420,406,5884,4416,3726,14026,21901,-986,-0.045,0.861,0.0961,0.0084,0.034,0.7383,0.8731,0.092,0.0263,0.4195,0.3148,0.2657,0.6706,,,,Jeffrey N. Spiegelman,R,11,150,http://legis.delaware.gov/legislature.nsf/ByDistrict/Representative11
3,7,20971,16180,3236,907,862,16716,13294,2366,556,7927,5317,4149,17393,21901,-930,-0.0425,0.7715,0.1543,0.0433,0.0411,0.7971,0.7953,0.1415,0.0333,0.4558,0.3057,0.2385,0.8294,,,,Raymond Seigfried,D,7,150,http://legis.delaware.gov/legislature.nsf/ByDistrict/Representative7
4,12,22964,20444,564,1454,626,17868,16067,444,388,6765,8539,5305,20609,21901,1063,0.0485,0.8903,0.0246,0.0633,0.0273,0.7781,0.8992,0.0248,0.0217,0.3283,0.4143,0.2574,0.8974,,,,Krista Griffith,D,12,150,http://legis.delaware.gov/legislature.nsf/ByDistrict/Representative12
5,14,21224,19302,899,322,832,18404,17096,621,607,6982,6166,3816,16964,21901,-677,-0.0309,0.9094,0.0424,0.0152,0.0392,0.8671,0.9289,0.0337,0.033,0.4116,0.3635,0.2249,0.7993,,,,Peter C. Schwartzkopf,D,14,150,http://legis.delaware.gov/legislature.nsf/ByDistrict/Representative14
6,15,22758,14900,5690,1042,1211,17195,11755,4072,781,8690,4333,4043,17066,21901,857,0.0391,0.6547,0.25,0.0458,0.0532,0.7556,0.6836,0.2368,0.0454,0.5092,0.2539,0.2369,0.7499,,,,Valerie Longhurst,D,15,150,http://legis.delaware.gov/legislature.nsf/ByDistrict/Representative15
7,16,21218,8534,10703,191,2475,16058,7023,7848,1512,10226,1806,2732,14764,21901,-683,-0.0312,0.4022,0.5044,0.009,0.1166,0.7568,0.4374,0.4887,0.0942,0.6926,0.1223,0.185,0.6958,,,,Franklin D. Cooke,D,16,150,http://legis.delaware.gov/legislature.nsf/ByDistrict/Representative16
8,17,22445,13057,6581,616,3366,17171,10505,4852,2169,9234,2952,3546,15732,21901,544,0.0248,0.5817,0.2932,0.0274,0.15,0.765,0.6118,0.2826,0.1263,0.587,0.1876,0.2254,0.7009,,,,Melissa Minor-Brown,D,17,150,http://legis.delaware.gov/legislature.nsf/ByDistrict/Representative17
9,18,22864,12808,6272,1966,2502,17681,10439,4617,1592,8394,3359,3652,15405,21901,963,0.044,0.5602,0.2743,0.086,0.1094,0.7733,0.5904,0.2611,0.09,0.5449,0.218,0.2371,0.6738,,,,David Bentz,D,18,150,http://legis.delaware.gov/legislature.nsf/ByDistrict/Representative18
10,24,22687,15404,4206,781,2844,17259,12374,2984,1738,8324,3969,4297,16590,21901,786,0.0359,0.679,0.1854,0.0344,0.1254,0.7607,0.717,0.1729,0.1007,0.5017,0.2392,0.259,0.7313,,,,Edward S. Osienski,D,24,150,http://legis.delaware.gov/legislature.nsf/ByDistrict/Representative24
11,25,21763,16922,2216,1726,1077,18678,14948,1664,831,5641,3495,3482,12618,21901,-138,-0.0063,0.7776,0.1018,0.0793,0.0495,0.8582,0.8003,0.0891,0.0445,0.4471,0.277,0.276,0.5798,,,,"John A. Kowalko, Jr.",D,25,150,http://legis.delaware.gov/legislature.nsf/ByDistrict/Representative25
